image,dist_idx,dst_type,dst_ord,dst_lev,dmos
house.bmp,1,jpeg,5,0.56641,39.51151909245588
house.bmp,1,jpeg,6,1.4029,23.20315084865464
house.bmp,1,jpeg,7,1.8851,21.024488372894925
lighthouse.bmp,1,jpeg,1,0.18537,59.07206937353145
lighthouse.bmp,1,jpeg,2,0.19213,59.3594312419867
lighthouse.bmp,1,jpeg,3,0.3919,48.670801401930504
lighthouse.bmp,1,jpeg,4,0.42931,45.678714739085265
lighthouse.bmp,1,jpeg,5,1.2943,22.894316448180156
lighthouse.bmp,1,jpeg,6,2.6187,17.90242445870529
lighthouse2.bmp,1,jpeg,1,0.17114,60.55254514620187
lighthouse2.bmp,1,jpeg,2,0.22353,53.561317903958724
lighthouse2.bmp,1,jpeg,3,0.40802,52.89066029707622
lighthouse2.bmp,1,jpeg,4,1.2186,23.752905819140917
lighthouse2.bmp,1,jpeg,5,2.2014,21.915037325403436
lighthouse2.bmp,1,jpeg,6,2.607,23.359332150647557
manfishing.bmp,1,jpeg,1,0.21134,60.59906715887066
manfishing.bmp,1,jpeg,2,0.33917,59.76883361021454
manfishing.bmp,1,jpeg,3,0.42286,52.7238085826388
manfishing.bmp,1,jpeg,4,0.56739,48.86232626758251
manfishing.bmp,1,jpeg,5,0.95764,25.92338626222032
manfishing.bmp,1,jpeg,6,1.6232,21.368637366413928
monarch.bmp,1,jpeg,1,0.1814,56.267204501611914
monarch.bmp,1,jpeg,2,0.1814,58.698768936850534
monarch.bmp,1,jpeg,3,0.32107,51.843326801611454
monarch.bmp,1,jpeg,4,0.60179,28.60678393478814
monarch.bmp,1,jpeg,5,0.77547,29.627781811760766
monarch.bmp,1,jpeg,6,2.6482,22.21876534984031
ocean.bmp,1,jpeg,1,0.15037,67.82709016093094
ocean.bmp,1,jpeg,2,0.29797,45.01820142211406
ocean.bmp,1,jpeg,3,0.48142,33.161859024007995
ocean.bmp,1,jpeg,4,0.81917,33.17487452965549
ocean.bmp,1,jpeg,5,0.881,29.32258917828471
ocean.bmp,1,jpeg,6,1.4233,20.05966586015515
ocean.bmp,1,jpeg,7,3.3364,23.81928622014108
paintedhouse.bmp,1,jpeg,1,0.18284,65.16467870739736
paintedhouse.bmp,1,jpeg,2,0.29938,74.25212011875597
paintedhouse.bmp,1,jpeg,3,0.29938,73.58912301389574
paintedhouse.bmp,1,jpeg,4,0.42863,42.760360296319064
paintedhouse.bmp,1,jpeg,5,0.62819,41.43384300393491
paintedhouse.bmp,1,jpeg,6,1.4535,24.51332756997572
parrots.bmp,1,jpeg,1,0.15717,59.998116443912735
parrots.bmp,1,jpeg,2,0.15717,58.226803040070436
parrots.bmp,1,jpeg,3,0.21,46.86060607831901
parrots.bmp,1,jpeg,4,0.31453,45.39754888512183
parrots.bmp,1,jpeg,5,0.33221,42.52118607682714
parrots.bmp,1,jpeg,6,0.92118,27.804812294443636
plane.bmp,1,jpeg,1,0.1628,58.632081877725426
plane.bmp,1,jpeg,2,0.27649,44.48057974318524
plane.bmp,1,jpeg,3,0.42568,43.68712908418356
plane.bmp,1,jpeg,4,0.9083,28.328278947726663
plane.bmp,1,jpeg,5,2.1241,22.549912901628197
rapids.bmp,1,jpeg,1,0.17405,61.96685136723782
rapids.bmp,1,jpeg,2,0.29138,70.95845439731096
rapids.bmp,1,jpeg,3,0.43058,60.311410102786176
rapids.bmp,1,jpeg,4,0.85997,46.98621621162363
rapids.bmp,1,jpeg,5,1.4648,29.248914863447652
sailing1.bmp,1,jpeg,1,0.17035,62.42299401695418
sailing1.bmp,1,jpeg,2,0.2724,49.98714110290032
sailing1.bmp,1,jpeg,3,0.54289,38.88609401355043
sailing1.bmp,1,jpeg,4,0.89555,31.074071335136953
sailing1.bmp,1,jpeg,5,0.9069,29.55677719914686
sailing1.bmp,1,jpeg,6,3.2723,21.616919193013956
sailing2.bmp,1,jpeg,1,0.16377,60.082531171978836
sailing2.bmp,1,jpeg,2,0.17097,59.21107877285364
sailing2.bmp,1,jpeg,3,0.31806,48.44187431552397
sailing2.bmp,1,jpeg,4,0.39285,44.80579447008242
sailing2.bmp,1,jpeg,5,0.55609,34.36752098639735
sailing2.bmp,1,jpeg,6,1.3781,21.425352466359897
sailing3.bmp,1,jpeg,1,0.16271,63.81598196499471
sailing3.bmp,1,jpeg,2,0.16271,63.673955042979145
sailing3.bmp,1,jpeg,3,0.33148,56.20055376716059
sailing3.bmp,1,jpeg,4,0.59313,39.126547554715955
sailing3.bmp,1,jpeg,5,0.91991,31.940080757371334
sailing3.bmp,1,jpeg,6,1.8247,22.36077002995832
sailing4.bmp,1,jpeg,1,0.16614,61.350283375020645
sailing4.bmp,1,jpeg,2,0.16614,61.16381409284535
sailing4.bmp,1,jpeg,3,0.30951,63.77800813801863
sailing4.bmp,1,jpeg,4,0.42826,52.68258889470214
sailing4.bmp,1,jpeg,5,0.55225,47.84250739717017
sailing4.bmp,1,jpeg,6,1.2926,23.764227931406232
statue.bmp,1,jpeg,1,0.16597,60.40688876673067
statue.bmp,1,jpeg,2,0.16597,60.867560158101796
statue.bmp,1,jpeg,3,0.29625,56.44735042407491
statue.bmp,1,jpeg,4,1.103,22.436113966625584
statue.bmp,1,jpeg,5,2.1953,19.56748371978346
statue.bmp,1,jpeg,6,2.7772,19.53742657254039
stream.bmp,1,jpeg,1,0.20131,64.41510961861735
stream.bmp,1,jpeg,2,0.29203,75.27899604270353
stream.bmp,1,jpeg,3,0.41781,63.64900697984106
stream.bmp,1,jpeg,4,0.57467,52.55754452877917
stream.bmp,1,jpeg,5,1.0008,29.738772903819356
stream.bmp,1,jpeg,6,1.6833,21.345826222120394
studentsculpture.bmp,1,jpeg,1,0.22008,59.24963651950959
studentsculpture.bmp,1,jpeg,2,0.22008,59.802873955570725
studentsculpture.bmp,1,jpeg,3,0.44665,46.6921578408488
studentsculpture.bmp,1,jpeg,4,0.82276,43.26832513569606
studentsculpture.bmp,1,jpeg,5,0.88289,42.498997253886785
studentsculpture.bmp,1,jpeg,6,2.338,26.530641359588333
woman.bmp,1,jpeg,1,0.17194,58.742827976591705
woman.bmp,1,jpeg,2,0.23546,52.792812754832575
woman.bmp,1,jpeg,3,0.38194,56.16757692494108
woman.bmp,1,jpeg,4,1.1368,30.069815195136
woman.bmp,1,jpeg,5,2.7803,26.8204323957816
woman.bmp,1,jpeg,6,3.266,25.296969611743133
womanhat.bmp,1,jpeg,1,0.15771,61.19507964387755
womanhat.bmp,1,jpeg,2,0.16225,62.67484278906548
womanhat.bmp,1,jpeg,3,0.3263,55.67451331018688
womanhat.bmp,1,jpeg,4,0.45313,44.31871652762005
womanhat.bmp,1,jpeg,5,0.60102,37.18731870129031
womanhat.bmp,1,jpeg,6,1.4703,22.04930214641378
bikes.bmp,2,jp2k,1,0.038287,68.05380219873442
bikes.bmp,2,jp2k,2,0.13174,63.79745841280577
bikes.bmp,2,jp2k,3,0.33249,42.16153847609955
bikes.bmp,2,jp2k,4,0.6957,38.46900882932819
bikes.bmp,2,jp2k,5,1.1466,27.447221923138954
bikes.bmp,2,jp2k,6,1.6219,26.13791357747473
building2.bmp,2,jp2k,1,0.097914,72.58409006589069
building2.bmp,2,jp2k,2,0.12981,69.29851565600342
building2.bmp,2,jp2k,3,0.32443,48.07274559690462
building2.bmp,2,jp2k,4,0.72182,47.53287130842447
building2.bmp,2,jp2k,5,1.0458,31.5595687109197
building2.bmp,2,jp2k,6,1.7229,25.477351996196013
buildings.bmp,2,jp2k,1,0.12695,61.18215742040482
buildings.bmp,2,jp2k,2,0.20136,61.41371716607372
buildings.bmp,2,jp2k,3,0.37358,53.846299781912535
buildings.bmp,2,jp2k,4,0.40141,49.581143139311585
buildings.bmp,2,jp2k,5,0.84836,37.02130195424285
buildings.bmp,2,jp2k,6,1.6665,21.079551835458812
caps.bmp,2,jp2k,1,0.050378,56.81506839122303
caps.bmp,2,jp2k,2,0.098741,53.456099322122625
caps.bmp,2,jp2k,3,0.19944,46.584322447755405
caps.bmp,2,jp2k,4,0.40137,34.49728356748708
caps.bmp,2,jp2k,5,0.60354,26.673302485106476
carnivaldolls.bmp,2,jp2k,1,0.050378,69.97832580415569
carnivaldolls.bmp,2,jp2k,2,0.12349,72.09944236071443
carnivaldolls.bmp,2,jp2k,3,0.25592,49.46765176998484
carnivaldolls.bmp,2,jp2k,4,0.43582,47.47269421075874
carnivaldolls.bmp,2,jp2k,5,0.7153,37.598876406688994
carnivaldolls.bmp,2,jp2k,6,1.5053,24.89895706986431
cemetry.bmp,2,jp2k,1,0.12274,70.96122360468537
cemetry.bmp,2,jp2k,2,0.12538,67.97348672924605
cemetry.bmp,2,jp2k,3,0.32443,52.616923214334236
cemetry.bmp,2,jp2k,4,0.66567,46.735191875993586
cemetry.bmp,2,jp2k,5,0.98942,33.473161094142995
churchandcapitol.bmp,2,jp2k,1,0.08665,61.332280691766066
churchandcapitol.bmp,2,jp2k,2,0.104,68.7833586829139
churchandcapitol.bmp,2,jp2k,3,0.12615,68.9113403034779
churchandcapitol.bmp,2,jp2k,4,0.38308,54.39726604294797
churchandcapitol.bmp,2,jp2k,5,0.69118,34.74736400054396
churchandcapitol.bmp,2,jp2k,6,1.9567,23.93855287245099
coinsinfountain.bmp,2,jp2k,1,0.042317,66.28179452865399
coinsinfountain.bmp,2,jp2k,2,0.10943,66.46194643940952
coinsinfountain.bmp,2,jp2k,3,0.18741,50.22230359576317
coinsinfountain.bmp,2,jp2k,4,0.32846,42.460379670553536
coinsinfountain.bmp,2,jp2k,5,0.70372,32.69469883824849
coinsinfountain.bmp,2,jp2k,6,3.1539,25.984026524750178
dancers.bmp,2,jp2k,1,0.11189,74.71223055356742
dancers.bmp,2,jp2k,2,0.21194,65.15010253306134
dancers.bmp,2,jp2k,3,0.25079,65.13140970686972
dancers.bmp,2,jp2k,4,0.534,48.3046809702197
dancers.bmp,2,jp2k,5,0.87657,36.803691247540776
dancers.bmp,2,jp2k,6,1.6262,25.59001805947806
flowersonih35.bmp,2,jp2k,1,0.030227,73.02643347532211
flowersonih35.bmp,2,jp2k,2,0.12805,70.25982518032612
flowersonih35.bmp,2,jp2k,3,0.20353,67.00586811025651
flowersonih35.bmp,2,jp2k,4,0.48161,50.12810440234088
flowersonih35.bmp,2,jp2k,5,0.94912,40.20353483462272
flowersonih35.bmp,2,jp2k,6,1.8386,28.188842568104352
house.bmp,2,jp2k,1,0.034257,69.50160619570946
house.bmp,2,jp2k,2,0.08262,57.47745564091386
house.bmp,2,jp2k,3,0.21506,50.5485771265556
house.bmp,2,jp2k,4,0.22409,50.83957042048765
house.bmp,2,jp2k,5,0.40101,36.14531005261188
house.bmp,2,jp2k,6,0.68106,31.491968912059583
house.bmp,2,jp2k,7,1.8156,21.273221929777215
lighthouse.bmp,2,jp2k,1,0.050378,63.86475437095206
lighthouse.bmp,2,jp2k,2,0.24231,50.87767308591221
lighthouse.bmp,2,jp2k,3,0.24826,50.96704009742991
lighthouse.bmp,2,jp2k,4,0.36474,38.06964086512967
lighthouse.bmp,2,jp2k,5,0.65051,31.359966179310835
lighthouse.bmp,2,jp2k,6,1.5456,23.045358620551518
lighthouse2.bmp,2,jp2k,1,0.10277,54.482323340813736
lighthouse2.bmp,2,jp2k,2,0.23974,53.34011511136505
lighthouse2.bmp,2,jp2k,3,0.52595,34.318825920353916
lighthouse2.bmp,2,jp2k,4,1.4569,22.457131335424307
lighthouse2.bmp,2,jp2k,5,2.3683,26.102063914116645
lighthouse2.bmp,2,jp2k,6,2.9056,24.35211475827056
manfishing.bmp,2,jp2k,1,0.030227,73.25236622149215
manfishing.bmp,2,jp2k,2,0.09471,59.30217260837462
manfishing.bmp,2,jp2k,3,0.36474,45.096844698952275
manfishing.bmp,2,jp2k,4,0.58961,38.2549339043671
manfishing.bmp,2,jp2k,5,0.60047,37.97355042079033
manfishing.bmp,2,jp2k,6,2.2558,25.341009535173676
monarch.bmp,2,jp2k,1,0.042317,53.41030485608058
monarch.bmp,2,jp2k,2,0.10277,47.21025837654042
monarch.bmp,2,jp2k,3,0.20004,45.830525538482604
monarch.bmp,2,jp2k,4,0.4277,32.095586985956885
monarch.bmp,2,jp2k,5,2.7899,22.286566625183454
ocean.bmp,2,jp2k,1,0.062469,61.67638378990241
ocean.bmp,2,jp2k,2,0.19144,42.50096821620306
ocean.bmp,2,jp2k,3,0.40169,35.026816689501125
ocean.bmp,2,jp2k,4,0.58689,33.27987227548807
ocean.bmp,2,jp2k,5,2.5311,21.33143389738949
paintedhouse.bmp,2,jp2k,1,0.098741,62.22323173241315
paintedhouse.bmp,2,jp2k,2,0.1909,69.8705581579566
paintedhouse.bmp,2,jp2k,3,0.24383,55.88732005422921
paintedhouse.bmp,2,jp2k,4,0.41508,48.84324745450706
paintedhouse.bmp,2,jp2k,5,0.78388,34.161205894412156
paintedhouse.bmp,2,jp2k,6,2.437,25.09633165601088
parrots.bmp,2,jp2k,1,0.042317,63.270890480446255
parrots.bmp,2,jp2k,2,0.054408,55.776435118466885
parrots.bmp,2,jp2k,3,0.13904,45.89200996411086
parrots.bmp,2,jp2k,4,0.22432,39.494391716246966
parrots.bmp,2,jp2k,5,0.38193,30.00013497962475
parrots.bmp,2,jp2k,6,0.68851,24.276408809776598
plane.bmp,2,jp2k,1,0.054408,60.767379802218706
plane.bmp,2,jp2k,2,0.11053,60.60039324353364
plane.bmp,2,jp2k,3,0.20756,42.82439106346012
plane.bmp,2,jp2k,4,0.40504,30.06590643346212
plane.bmp,2,jp2k,5,0.60958,25.90239364449977
plane.bmp,2,jp2k,6,2.3766,21.24474002721652
rapids.bmp,2,jp2k,1,0.050378,69.3198883772806
rapids.bmp,2,jp2k,2,0.1227,70.19193144078119
rapids.bmp,2,jp2k,3,0.21562,51.928846132839226
rapids.bmp,2,jp2k,4,0.41906,48.34116741829985
rapids.bmp,2,jp2k,5,0.72312,34.01073628022137
rapids.bmp,2,jp2k,6,1.5456,24.6248388210791
sailing1.bmp,2,jp2k,1,0.062469,64.00907199232228
sailing1.bmp,2,jp2k,2,0.11565,64.16748927763923
sailing1.bmp,2,jp2k,3,0.12526,63.015324512867245
sailing1.bmp,2,jp2k,4,0.48564,38.49937916871746
sailing1.bmp,2,jp2k,5,1.0781,22.76639531194038
sailing1.bmp,2,jp2k,6,2.5288,19.966622257732258
sailing2.bmp,2,jp2k,1,0.074559,51.98430097914189
sailing2.bmp,2,jp2k,2,0.20057,49.04623820958027
sailing2.bmp,2,jp2k,3,0.52997,27.201954422013888
sailing2.bmp,2,jp2k,4,1.1063,21.787298417648113
sailing2.bmp,2,jp2k,5,1.849,21.737392404967196
sailing2.bmp,2,jp2k,6,2.511,24.26413610892305
sailing3.bmp,2,jp2k,1,0.054408,59.44196571611291
sailing3.bmp,2,jp2k,2,0.10603,62.9003588494039
sailing3.bmp,2,jp2k,3,0.22771,43.718266431018314
sailing3.bmp,2,jp2k,4,0.37665,42.0193414153924
sailing3.bmp,2,jp2k,5,0.38246,41.412498424737386
sailing3.bmp,2,jp2k,6,1.3804,22.27981853312796
sailing4.bmp,2,jp2k,1,0.030227,69.37405446814955
sailing4.bmp,2,jp2k,2,0.11486,56.988438960547256
sailing4.bmp,2,jp2k,3,0.26196,52.455399306801034
sailing4.bmp,2,jp2k,4,0.59673,35.77898514989975
sailing4.bmp,2,jp2k,5,1.8547,25.295827176091436
statue.bmp,2,jp2k,1,0.050378,60.761657857607254
statue.bmp,2,jp2k,2,0.070529,55.98522773495745
statue.bmp,2,jp2k,3,0.22253,49.7286281585553
statue.bmp,2,jp2k,4,0.3777,42.60054761405774
statue.bmp,2,jp2k,5,0.74761,25.547908094700823
statue.bmp,2,jp2k,6,2.4112,21.882621655468572
stream.bmp,2,jp2k,1,0.050378,69.62940064841362
stream.bmp,2,jp2k,2,0.19204,72.81703406181643
stream.bmp,2,jp2k,3,0.40832,62.47870390031039
stream.bmp,2,jp2k,4,0.71533,44.39714490163311
stream.bmp,2,jp2k,5,1.4851,24.255518544727988
studentsculpture.bmp,2,jp2k,1,0.09471,59.08349135484238
studentsculpture.bmp,2,jp2k,2,0.20383,61.178399664208015
studentsculpture.bmp,2,jp2k,3,0.46549,44.62558143068395
studentsculpture.bmp,2,jp2k,4,1.0136,31.387064288293335
studentsculpture.bmp,2,jp2k,5,1.6466,28.00384535689855
studentsculpture.bmp,2,jp2k,6,2.7031,23.29290129605595
woman.bmp,2,jp2k,1,0.038287,67.19668334150376
woman.bmp,2,jp2k,2,0.13904,55.90459914407012
woman.bmp,2,jp2k,3,0.3754,49.72531306132735
woman.bmp,2,jp2k,4,0.40027,47.430013761380415
woman.bmp,2,jp2k,5,0.59812,41.92234749404617
woman.bmp,2,jp2k,6,1.5375,21.418865343047646
womanhat.bmp,2,jp2k,1,0.030227,65.33538560268595
womanhat.bmp,2,jp2k,2,0.1068,51.60071918510474
womanhat.bmp,2,jp2k,3,0.21173,54.860028833296795
womanhat.bmp,2,jp2k,4,0.2356,52.00419635496926
womanhat.bmp,2,jp2k,5,0.96524,21.305122979508095
womanhat.bmp,2,jp2k,6,1.708,25.03062047966861
bikes.bmp,3,wn,1,0.035156,25.293947664420266
bikes.bmp,3,wn,2,0.089844,37.99576353679407
bikes.bmp,3,wn,3,0.257813,49.3575302613863
bikes.bmp,3,wn,4,0.320313,54.46282360076056
bikes.bmp,3,wn,5,1.996094,71.87356645452326
building2.bmp,3,wn,2,0.0625,31.570742673042144
building2.bmp,3,wn,3,0.117188,40.56284195591726
building2.bmp,3,wn,4,0.3125,52.57387417514444
building2.bmp,3,wn,5,0.421875,55.286983378847374
building2.bmp,3,wn,6,1.5,72.49298633741233
buildings.bmp,3,wn,1,0.03125,25.00548166763891
buildings.bmp,3,wn,2,0.058594,33.22868969556813
buildings.bmp,3,wn,3,0.289063,52.16119598246932
buildings.bmp,3,wn,4,0.40625,56.6813925019012
buildings.bmp,3,wn,5,1.996094,72.0624771097121
caps.bmp,3,wn,1,0.015625,22.503374626941653
caps.bmp,3,wn,2,0.03125,33.54176848227497
caps.bmp,3,wn,3,0.0625,41.339397862684045
caps.bmp,3,wn,4,0.125,48.03932331168035
caps.bmp,3,wn,5,1.0,67.38191488202578
carnivaldolls.bmp,3,wn,1,0.019531,20.307406757880905
carnivaldolls.bmp,3,wn,2,0.046875,34.49706446809392
carnivaldolls.bmp,3,wn,3,0.15625,48.12179120703937
carnivaldolls.bmp,3,wn,4,0.207031,50.47087190504282
carnivaldolls.bmp,3,wn,5,1.996094,71.45708588139159
cemetry.bmp,3,wn,1,0.039063,27.298143951439798
cemetry.bmp,3,wn,2,0.0625,35.310519059258056
cemetry.bmp,3,wn,3,0.179688,47.8022173109868
cemetry.bmp,3,wn,4,0.25,52.30651823582071
cemetry.bmp,3,wn,5,1.996094,74.45167366240405
churchandcapitol.bmp,3,wn,1,0.019531,24.37575202371464
churchandcapitol.bmp,3,wn,2,0.035156,32.029192192610275
churchandcapitol.bmp,3,wn,3,0.140625,47.815364470050575
churchandcapitol.bmp,3,wn,4,0.234375,53.84641159383728
churchandcapitol.bmp,3,wn,5,1.996094,75.67752970989655
coinsinfountain.bmp,3,wn,1,0.03125,20.711416001111928
coinsinfountain.bmp,3,wn,2,0.050781,27.49157346487443
coinsinfountain.bmp,3,wn,3,0.171875,46.91034732543944
coinsinfountain.bmp,3,wn,4,0.25,51.318422411965095
coinsinfountain.bmp,3,wn,5,1.0,65.53583558490479
dancers.bmp,3,wn,1,0.042969,30.794572392300985
dancers.bmp,3,wn,2,0.085938,39.12944783610569
dancers.bmp,3,wn,3,0.25,54.031702447174354
dancers.bmp,3,wn,4,0.390625,57.195223975461516
dancers.bmp,3,wn,5,0.625,65.4285766269556
flowersonih35.bmp,3,wn,1,0.019531,19.813776756304243
flowersonih35.bmp,3,wn,2,0.070313,37.66736420630842
flowersonih35.bmp,3,wn,3,0.25,52.17033273533363
flowersonih35.bmp,3,wn,4,0.296875,54.802789868655026
flowersonih35.bmp,3,wn,5,0.75,66.29900471008837
house.bmp,3,wn,1,0.019531,23.48981406058134
house.bmp,3,wn,2,0.046875,35.507924699203414
house.bmp,3,wn,3,0.125,45.32049999361613
house.bmp,3,wn,4,0.25,52.68290142189967
house.bmp,3,wn,5,0.875,49.87206779335661
lighthouse.bmp,3,wn,1,0.019531,23.425226802503936
lighthouse.bmp,3,wn,2,0.039063,32.20299718280108
lighthouse.bmp,3,wn,3,0.0625,39.282533932323666
lighthouse.bmp,3,wn,4,0.171875,51.3502225028313
lighthouse.bmp,3,wn,5,1.0,68.58777412641652
lighthouse2.bmp,3,wn,1,0.019531,21.02304265105594
lighthouse2.bmp,3,wn,2,0.035156,28.329706381798154
lighthouse2.bmp,3,wn,3,0.121094,43.55504332963799
lighthouse2.bmp,3,wn,4,0.164063,46.28429426643121
lighthouse2.bmp,3,wn,5,1.996094,70.1183913375667
manfishing.bmp,3,wn,1,0.015625,18.171540818466337
manfishing.bmp,3,wn,2,0.042969,28.1480513828561
manfishing.bmp,3,wn,3,0.171875,47.23994202090737
manfishing.bmp,3,wn,4,0.242188,51.27952860861556
manfishing.bmp,3,wn,5,1.996094,69.06429701449021
monarch.bmp,3,wn,1,0.027344,23.942759012671203
monarch.bmp,3,wn,2,0.035156,28.449050613504284
monarch.bmp,3,wn,3,0.117188,41.16959454240873
monarch.bmp,3,wn,4,0.1875,49.08675235466103
monarch.bmp,3,wn,5,1.0,65.73029200118374
ocean.bmp,3,wn,-1,-1.0,33.50169399819825
ocean.bmp,3,wn,1,0.011719,18.878752040927587
ocean.bmp,3,wn,2,0.109375,47.07703204219865
ocean.bmp,3,wn,3,0.179688,51.474597776260914
ocean.bmp,3,wn,4,1.996094,73.31267778854382
paintedhouse.bmp,3,wn,1,0.03125,25.18190630247393
paintedhouse.bmp,3,wn,2,0.058594,36.522247348595556
paintedhouse.bmp,3,wn,3,0.125,46.9760077774318
paintedhouse.bmp,3,wn,4,0.25,52.80103018144482
paintedhouse.bmp,3,wn,5,1.996094,72.79674301314544
parrots.bmp,3,wn,1,0.011719,20.6229932562243
parrots.bmp,3,wn,2,0.03125,28.50580755951212
parrots.bmp,3,wn,3,0.0625,38.93056555718149
parrots.bmp,3,wn,4,0.128906,47.03859547704133
parrots.bmp,3,wn,5,1.0,68.72715134454026
plane.bmp,3,wn,1,0.019531,20.658684095642474
plane.bmp,3,wn,2,0.042969,30.910379404918537
plane.bmp,3,wn,3,0.109375,41.9217934886144
plane.bmp,3,wn,4,0.1875,48.69582100754658
plane.bmp,3,wn,5,1.0,65.42243780270577
rapids.bmp,3,wn,1,0.019531,18.225225740269767
rapids.bmp,3,wn,2,0.046875,30.986839130840746
rapids.bmp,3,wn,3,0.125,43.02597822759181
rapids.bmp,3,wn,4,0.25,50.375540531155586
rapids.bmp,3,wn,5,1.0,65.65386337913596
sailing1.bmp,3,wn,1,0.023438,23.2098354408661
sailing1.bmp,3,wn,2,0.046875,32.15919587071531
sailing1.bmp,3,wn,3,0.128906,43.28446508243275
sailing1.bmp,3,wn,4,0.1875,48.85542516760175
sailing1.bmp,3,wn,5,1.996094,67.53582395023882
sailing2.bmp,3,wn,1,0.015625,24.16469367657933
sailing2.bmp,3,wn,2,0.027344,28.22314322398699
sailing2.bmp,3,wn,3,0.0625,38.238611972310636
sailing2.bmp,3,wn,4,0.132813,47.81424824346578
sailing2.bmp,3,wn,5,1.0,67.71289447738057
sailing3.bmp,3,wn,1,0.019531,22.251829910919774
sailing3.bmp,3,wn,2,0.03125,29.699985853756605
sailing3.bmp,3,wn,3,0.109375,44.753356184626675
sailing3.bmp,3,wn,4,0.164063,48.03366696738555
sailing3.bmp,3,wn,5,1.996094,72.59725363203397
sailing4.bmp,3,wn,1,0.015625,20.53686608994719
